Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_913.jpg,0,0,0,0,99.67033,85.58956,0.001817793,56.8237,-9.94E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_50_993.jpg,0,0,0,0,99.67034,85.58957,0.002142257,56.8237,-7.60E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_035.jpg,0,0,0,0,99.67034,85.58957,0.002268764,56.8237,-6.50E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_116.jpg,0,0,0,0,99.67034,85.58958,0.002450947,56.82371,-3.90E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_198.jpg,0,0,0,0,99.67034,85.58958,0.002540686,56.82371,-1.61E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_277.jpg,-4.97176,0,0,0,99.67034,85.58958,0.002543407,55.9179,3.87E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_321.jpg,-7.31432,0,0,0,99.67034,85.58958,0.002514682,55.04018,7.41E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_400.jpg,-12.20802,0,0,0,99.67034,85.58958,0.002400336,52.39302,0.000167479
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_444.jpg,-14.69597,0,0,0,99.67034,85.58957,0.002316381,50.62948,0.000219534
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_522.jpg,-15,0,0,0,99.67034,85.58957,0.002105813,47.02953,0.000297223
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_563.jpg,-12.61739,0,0,0,99.67034,85.58957,0.001985759,45.51548,0.000309427
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_645.jpg,-7.809818,0,0,0,99.67033,85.58956,0.00172715,43.35658,0.000279852
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_687.jpg,-5.269938,0,0,0,99.67033,85.58956,0.001591979,42.72417,0.000243604
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_765.jpg,-10.16097,0,0,0,99.67033,85.58955,0.001305993,40.57126,0.000180675
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_807.jpg,-12.5237,0,0,0,99.67033,85.58955,0.001161812,39.06841,0.000150103
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_885.jpg,-12.70129,0,0,0,99.67033,85.58955,0.000878047,35.74424,7.32E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_51_925.jpg,-10.32442,0,0,0,99.67033,85.58955,0.00074233,34.50531,2.11E-05
